asset_id,DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,,
2,19/05/2026,130.68,130.9,130.02,129.7,130.84,130.64,130.49,148.14,77.38,30767769,4014815662,64792,,125.952807
2,18/05/2026,129.41,129.9,128.03,129.41,129.8,129.7,129.39,148.14,77.38,30877573,3995153452,101861,,138.32
2,15/05/2026,135.07,135.07,128.92,131.78,129.38,129.41,129.87,148.14,76.36,42784279,5556402563,117841,,110.72
2,14/05/2026,131.65,132.79,130.6,131.74,131.87,131.78,132.01,148.14,76.36,50086666,6611722238,107966,,50160304.35
2,13/05/2026,131.1,134.4,129.43,124.61,131.8,131.74,131.11,148.14,76.36,103923323,13624960690,189322,,
2,12/05/2026,125.5,125.5,124.46,123.23,124.58,124.61,124.88,148.14,76.36,43573001,5441264092,98718,,
2,11/05/2026,124.17,124.17,123.03,124.31,123.25,123.23,123.58,148.14,76.36,28730298,3550547852,135971,,
2,08/05/2026,124.55,124.72,124,124.47,124.39,124.31,124.35,148.14,76.36,23188221,2883474446,75694,,
2,07/05/2026,124.47,125.19,124.1,124.02,124.43,124.47,124.49,148.14,76.36,23956362,2982347285,83151,,
2,06/05/2026,123.31,124.25,123.31,122.16,124.15,124.02,123.92,148.14,76.36,21326865,2642774273,80796,,
2,05/05/2026,121.48,122.25,121.48,122.38,122.2,122.16,121.88,148.14,76.36,18302221,2230641866,107124,,
2,04/05/2026,123.38,123.43,122.1,123.43,122.4,122.38,122.64,148.14,76.36,25301743,3102980067,172772,,
2,30/04/2026,122.7,123.62,121.68,121.58,123.33,123.43,122.63,148.14,76.36,34788645,4266071190,93458,,
2,29/04/2026,122.66,122.81,121.4,122.68,121.59,121.58,122.13,148.14,76.36,22335957,2727895286,98601,,
2,28/04/2026,124.07,124.07,122.51,124.25,122.59,122.68,123.11,148.14,76.36,28116911,3461364450,104896,,
2,27/04/2026,124.81,125.9,124.13,123.94,124.29,124.25,124.6,148.14,76.36,16549661,2062161073,87940,,
2,24/04/2026,123.87,124.23,123.14,124.08,123.92,123.94,123.78,148.14,76.36,22028158,2726617785,76429,,
2,23/04/2026,124.27,124.5,123.76,124.99,123.98,124.08,124.14,148.14,76.36,23148344,2873545920,78661,,
2,22/04/2026,124.99,125.18,124.47,125.22,124.97,124.99,124.94,148.14,76.36,22336874,2790758263,71104,,
2,21/04/2026,125.1,125.77,124.95,125,125.15,125.22,125.22,148.14,76.36,21375197,2676553047,68278,,
2,20/04/2026,125.18,125.25,124.31,124.8,125,125,124.72,148.14,76.36,32823752,4093687832,139989,,
2,17/04/2026,125.26,125.26,124.23,125.61,124.78,124.8,124.65,148.14,76.36,40405056,5036303266,146542,,
2,16/04/2026,125.32,126.47,125.32,125.06,125.6,125.61,125.74,148.14,76.36,29443660,3702134792,87977,,
2,15/04/2026,125.75,126,124.89,123.76,125.26,125.06,125.41,148.14,76.36,53936360,6764020979,161392,,
2,13/04/2026,123.44,124.35,122.73,123.49,123.89,123.76,123.78,148.14,76.36,68466735,8474521775,136461,,
2,10/04/2026,123.52,124.38,122.87,123.21,123.6,123.49,123.58,148.14,65.85,32244475,3984769542,102096,,
2,09/04/2026,122.97,123.48,122.2,124.39,123.19,123.21,122.9,148.14,65.85,36306691,4462048999,113431,,
2,08/04/2026,125.18,125.68,123.75,121.78,124.24,124.39,124.87,148.14,65.85,55049335,6873866896,134725,,
2,07/04/2026,122.23,122.26,120.8,122.81,121.74,121.78,121.54,148.14,65.85,36328914,4415431333,115756,,
2,06/04/2026,120.89,123.01,120.32,120.58,122.59,122.81,121.93,148.14,65.85,42281672,5155609448,184927,,
2,02/04/2026,123.13,123.3,119,123.37,120.8,120.58,120.99,148.14,65.85,58520148,7080244429,190803,,
2,01/04/2026,125.62,125.62,123.02,121.19,123.4,123.37,123.65,148.14,65.85,59364793,7340489878,164814,,
2,30/03/2026,120.43,121.8,117.92,117.53,121.4,121.19,119.98,148.14,65.85,72514040,8699992203,216960,,
2,27/03/2026,118.34,118.86,116.52,119.29,117.5,117.53,117.56,148.14,65.85,58866050,6920180742,190433,,
2,25/03/2026,118.37,119.88,118.37,115.49,119.25,119.29,119.31,148.14,65.85,65241148,7784060996,158746,,
2,24/03/2026,111.62,116.59,111.62,110.72,115.85,115.49,114.61,148.14,65.85,102922002,11795543827,273735,,
2,23/03/2026,116.64,117,107.13,121.06,111.1,110.72,111.29,148.14,65.85,227283756,25294290427,683769,,
2,20/03/2026,122.67,122.67,120.05,121.32,121.17,121.06,121.55,148.14,65.85,68506513,8326930586,200847,,
2,19/03/2026,125.88,125.88,120.73,127.91,121.69,121.32,122.66,148.14,65.85,101167992,12408859009,338295,,
2,18/03/2026,127.88,128.07,127.11,128.22,127.93,127.91,127.67,148.14,65.85,27955998,3569267912,90772,,
2,17/03/2026,127.82,129.08,127.82,127.22,128.24,128.22,128.41,148.14,65.85,28319680,3636618780,93300,,
2,16/03/2026,128,128.87,126.86,130.32,127.09,127.22,127.8,148.14,65.85,56788314,7257813627,219713,,
2,13/03/2026,131.38,131.38,129.87,132.43,130.43,130.32,130.61,148.14,65.85,37192341,4857811272,141583,,
2,12/03/2026,131.9,132.65,131.54,132.71,132.46,132.43,132.16,148.14,65.85,30302165,4004700549,111960,,
2,11/03/2026,133.43,133.44,132.33,132.2,132.66,132.71,132.67,148.14,65.85,32157892,4266488527,97129,,
2,10/03/2026,131.51,132.78,131.51,131.35,132.15,132.2,132.12,148.14,65.85,37242470,4920496363,127945,,
2,09/03/2026,129.89,132.18,125.86,130.82,131.13,131.35,130.97,148.14,65.85,69277274,9073470428,197147,,
2,06/03/2026,132.31,132.31,130.61,132.24,130.7,130.82,131.3,148.14,65.85,45371780,5957120314,155504,,
2,05/03/2026,136,137.3,131.25,133.96,132.13,132.24,132.39,148.14,65.85,65008653,8606793176,202558,,
2,04/03/2026,134.4,135.3,104.72,138.32,134.1,133.96,133.6,148.14,65.85,104088677,13906597193,323513,,
2,02/03/2026,140.1,142,135.23,131.6,138.54,138.32,137.84,148.14,65.85,177836182,24512096572,484204,,
2,27/02/2026,130.7,131.8,130.65,130.48,131.65,131.6,131.37,148.14,65.85,43704178,5741429326,114482,,
2,26/02/2026,132.69,133.79,130,131.69,130.54,130.48,130.87,148.14,65.85,40839441,5344648072,121669,,
2,25/02/2026,131.1,132,130.64,131.22,131.7,131.69,131.56,148.14,65.85,44906554,5907825188,112289,,
2,24/02/2026,130.11,134,130.11,130,131.34,131.22,131.02,148.14,65.85,48385152,6339533981,130834,,
