asset_id,DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,,
3,19/05/2026,63.45,63.99,63.36,63.21,63.51,63.51,63.41,66.49,60.18,24387,1546436.15,115,,63.65105263
3,18/05/2026,63.57,63.58,63.17,63.49,63.21,63.21,63.39,66.49,60.18,2500,158466.69,46,,64.19
3,15/05/2026,63.76,63.76,63.46,63.29,63.6,63.49,63.58,66.49,59.5,811,51560.35,42,,62.88
3,14/05/2026,63.8,63.81,63.26,63.5,63.26,63.29,63.37,66.49,59.5,52757,3343169.71,90,,52712.52632
3,13/05/2026,65.08,65.08,63.39,63.5,63.5,63.5,63.68,66.49,59.5,534,34002.77,63,,
3,12/05/2026,63.8,63.8,63.45,63.88,63.8,63.5,63.57,66.49,59.5,22621,1437997.84,85,,
3,11/05/2026,63.8,64.01,63.54,63.8,63.96,63.88,63.67,66.49,59.5,5419,345046.08,251,,
3,08/05/2026,63.8,63.86,63.65,63.86,63.8,63.8,63.79,66.49,59.5,401,25579.98,30,,
3,07/05/2026,63.01,64.75,63.01,64.03,63.85,63.86,63.88,66.49,59.5,1127,71991.51,83,,
3,06/05/2026,65.09,65.09,63.57,63.81,64.05,64.03,63.76,66.49,59.5,204407,13033523.55,265,,
3,05/05/2026,63.79,64.16,63.37,63.46,63.44,63.81,63.53,66.49,59.5,157445,10001760.97,152,,
3,04/05/2026,63.74,64.11,63.24,63.57,63.33,63.46,63.6,66.49,59.5,20733,1318616.35,183,,
3,30/04/2026,63.79,63.97,63.51,63.59,63.77,63.57,63.6,66.49,59.5,35044,2228640.74,91,,
3,29/04/2026,62.12,64.85,62.12,63.72,63.57,63.59,63.73,66.49,59.5,23182,1477342.26,138,,
3,28/04/2026,64.01,64.22,63.54,64.01,63.54,63.72,63.82,66.49,59.5,14367,916931.03,93,,
3,27/04/2026,63.8,64.68,63.8,63.83,64,64.01,64.19,66.49,59.5,5177,332299.07,84,,
3,24/04/2026,62.9,64.44,62.9,63.66,63.8,63.83,63.94,66.49,59.5,8536,545834.46,76,,
3,23/04/2026,64.06,64.11,63.63,63.74,63.63,63.66,63.81,66.49,59.5,3189,203498.98,56,,
3,22/04/2026,64.06,64.12,63.73,63.81,63.74,63.74,63.99,66.49,59.5,122194,7819060.17,46,,
3,21/04/2026,63.7,64.32,63.7,63.74,63.83,63.81,63.88,66.49,59.5,5365,342707.38,40,,
3,20/04/2026,62.52,64.14,62.52,64.13,63.76,63.74,63.9,66.49,59.5,4573,292194.38,75,,
3,17/04/2026,64.01,64.21,63.7,63.7,64.05,64.13,63.87,66.49,59.5,27247,1740249.19,53,,
3,16/04/2026,64.37,64.9,63.58,64.19,63.65,63.7,64.1,66.49,59.5,14577,934374.96,106,,
3,15/04/2026,63.5,65.65,63.5,63.71,64.39,64.19,64.62,66.49,59.5,11829,764363.62,126,,
3,13/04/2026,63.51,64.79,63.48,63.82,63.7,63.71,63.67,66.49,59.5,145132,9241229.03,76,,
3,10/04/2026,64.48,66.49,63.76,64.18,63.8,63.82,64.73,66.49,59.5,21641,1400784.88,101,,
3,09/04/2026,63.98,64.99,63.48,63.79,64.65,64.18,63.78,66.15,59.5,113786,7257206.93,75,,
3,08/04/2026,61.69,64.45,61.69,63.28,63.35,63.79,63.65,66.15,59.5,176311,11223053.97,88,,
3,07/04/2026,63.88,64.4,62.69,62.88,63.9,63.28,63.35,66.15,59.5,14166,897451,88,,
3,06/04/2026,63.31,64,62.57,63.26,62.78,62.88,62.81,66.15,59.5,356117,22368069.72,156,,
3,02/04/2026,63.11,63.94,62.68,63.47,63.4,63.26,63.18,66.15,59.38,10047,634751.16,81,,
3,01/04/2026,63.44,65.95,62.54,63.23,63.05,63.47,63.45,66.15,59.38,12159,771543.34,100,,
3,30/03/2026,63.27,63.28,62.79,63.31,63.24,63.23,63,66.15,59.38,41924,2641102.47,60,,
3,27/03/2026,63.23,63.64,62.56,63.32,63.34,63.31,63.2,66.15,58.7,3852,243465.02,76,,
3,25/03/2026,63.08,63.88,63.07,63.18,63.24,63.32,63.38,66.15,58.7,207145,13128362.04,69,,
3,24/03/2026,63.4,63.56,63.13,63.09,63.16,63.18,63.21,66.15,58.7,7092,448275.38,31,,
3,23/03/2026,63.4,63.86,62.9,63.66,63.01,63.09,63.32,66.15,58.7,6185,391644.22,101,,
3,20/03/2026,64.2,64.3,63.25,64,63.25,63.66,63.71,66.15,58.7,9434,601051.82,94,,
3,19/03/2026,64.32,64.32,62.81,63.68,64.32,64,64.01,66.15,58.7,5208,333384.49,72,,
3,18/03/2026,64.22,64.22,63.51,63.68,63.69,63.68,63.67,66.15,58.7,5090,324073.47,32,,
3,17/03/2026,63.93,63.94,63.56,63.62,63.69,63.68,63.6,66.15,58.7,62679,3986483.57,31,,
3,16/03/2026,63.52,64.01,63.52,63.62,63.55,63.62,63.65,66.15,58.7,203890,12978472.85,64,,
3,13/03/2026,64.35,64.35,63.4,63.78,63.59,63.62,63.59,66.15,58.7,531212,33781985.26,66,,
3,12/03/2026,63.59,64.08,63.59,63.59,63.78,63.78,63.83,66.15,58.7,41416,2643506.88,34,,
3,11/03/2026,63.84,63.84,63.59,63.65,63.59,63.59,63.61,66.15,58.7,2911,185175.32,30,,
3,10/03/2026,62.39,64.12,62.39,63.99,63.52,63.65,63.74,66.15,58.7,6711,427752.48,52,,
3,09/03/2026,64,64.16,63.35,63.69,64,63.99,63.91,66.15,58.7,4673,298629.1,77,,
3,06/03/2026,63.86,63.91,63.39,63.91,63.39,63.69,63.69,66.15,58.7,7102,452331.82,42,,
3,05/03/2026,63.86,64,63.56,63.55,63.61,63.91,63.73,66.15,58.7,102413,6526836.54,64,,
3,04/03/2026,63.91,63.92,63.42,63.6,63.42,63.55,63.64,66.15,58.7,5038,320595.04,76,,
3,02/03/2026,63.99,64.14,63.51,63.99,63.56,63.6,63.63,66.15,58.7,19231,1223732.56,107,,
3,27/02/2026,64.05,64.12,63.61,64.05,64.11,63.99,63.74,66.15,58.37,41646,2654474.05,83,,
3,26/02/2026,63.85,64.1,63.61,63.53,64.08,64.05,64.01,66.15,58.37,1522,97424.01,38,,
3,25/02/2026,64.02,64.02,63.52,64.02,63.95,63.53,63.65,66.15,58.37,1499,95417.26,57,,
3,24/02/2026,61.87,64.23,61.87,63.46,63.71,64.02,63.73,66.15,58.37,3138,199978.79,44,,
3,23/02/2026,63.6,63.95,63.34,63.49,63.42,63.46,63.53,66.15,58.37,63858,4057047.28,110,,
3,20/02/2026,63.69,63.69,63.41,63.42,63.68,63.49,63.53,66.15,58.37,1964,124764.65,33,,
