asset_id,DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,,
5,19/05/2026,1338.7,1344,1318.4,1335.9,1322.8,1322.7,1332.15,1611.8,1290,21665501,28861686347,339757,,1380.391228
5,18/05/2026,1334,1342,1318.7,1336.4,1335,1335.9,1333.44,1611.8,1290,13022473,17364734586,224065,,1463.6
5,15/05/2026,1356.8,1364.8,1329.2,1361.8,1339,1336.4,1339.37,1611.8,1290,19976192,26755567751,276450,,1304.6
5,14/05/2026,1365.2,1378,1358.4,1358.8,1368.5,1361.8,1365.93,1611.8,1290,17303059,23634693081,312686,,19867231.21
5,13/05/2026,1361.4,1372.4,1352.4,1364,1361.2,1358.8,1360.83,1611.8,1290,13797989,18776783798,253418,,
5,12/05/2026,1392,1393.5,1360.3,1388.2,1366.5,1364,1375.76,1611.8,1290,24357500,33509995740,405245,,
5,11/05/2026,1420,1428,1382,1435.2,1385.3,1388.2,1402.78,1611.8,1290,15261787,21408932296,240591,,
5,08/05/2026,1426,1442.8,1417.5,1436.2,1436,1435.2,1428.37,1611.8,1290,8663105,12374131087,173992,,
5,07/05/2026,1438.8,1449.5,1430.3,1437.9,1435.5,1436.2,1438.64,1611.8,1290,19816903,28509373905,286996,,
5,06/05/2026,1463,1473.3,1427.5,1463.6,1438.7,1437.9,1444.41,1611.8,1290,14221786,20542051719,282129,,
5,05/05/2026,1460,1473.4,1450,1463.1,1462.5,1463.6,1461.45,1611.8,1290,23543341,34407523385,312401,,
5,04/05/2026,1433.4,1467.4,1433.4,1430.8,1467.2,1463.1,1454,1611.8,1290,24035700,34947863091,417403,,
5,30/04/2026,1409,1437,1393.1,1425.4,1436,1430.8,1416.42,1611.8,1290,30957881,43849430497,364569,,
5,29/04/2026,1392,1433.8,1391.3,1388.9,1430,1425.4,1418.23,1611.8,1290,30542143,43315858970,377101,,
5,28/04/2026,1358,1395.2,1357,1365.8,1393,1388.9,1380.39,1611.8,1290,41027699,56634360965,371160,,
5,27/04/2026,1313,1371.6,1311,1327.8,1370,1365.8,1346.48,1611.8,1290,24673098,33221715767,301732,,
5,24/04/2026,1340,1345.9,1325,1343.4,1331,1327.8,1333.01,1611.8,1267,11744802,15655932416,197088,,
5,23/04/2026,1346,1355.5,1340.7,1362.1,1344.4,1343.4,1347.84,1611.8,1267,16385079,22084484855,209218,,
5,22/04/2026,1350.3,1366,1349.1,1353.3,1362,1362.1,1360.4,1611.8,1267,9525953,12959100399,153909,,
5,21/04/2026,1359,1369.8,1350.1,1363.3,1354.9,1353.3,1356.6,1611.8,1267,27293629,37026449570,297701,,
5,20/04/2026,1363.2,1373,1352.8,1365,1361.1,1363.3,1365.92,1611.8,1267,13614733,18596570381,240331,,
5,17/04/2026,1340,1368.4,1340,1343.3,1364.9,1365,1359.14,1611.8,1227.6,13869105,18850089777,226433,,
5,16/04/2026,1352,1353.8,1330,1344.1,1345.9,1343.3,1338.46,1611.8,1227.6,30211012,40436195396,333177,,
5,15/04/2026,1337,1347,1334.2,1315.1,1342.9,1344.1,1340.02,1611.8,1227.6,15313779,20520818326,259818,,
5,13/04/2026,1321.2,1327.6,1310,1350.2,1314,1315.1,1316.46,1611.8,1227.6,28753269,37852516274,456747,,
5,10/04/2026,1337,1352.3,1331.5,1330,1350,1350.2,1346.97,1611.8,1114.85,19364461,26083304336,228260,,
5,09/04/2026,1346,1350,1326.3,1347.8,1330,1330,1333.26,1611.8,1114.85,20725390,27632249237,277395,,
5,08/04/2026,1349,1350.6,1326.2,1304.6,1349.4,1347.8,1343.02,1611.8,1114.85,21817543,29301422736,434059,,
5,07/04/2026,1295,1308.3,1291,1304.7,1307.3,1304.6,1298.73,1611.8,1114.85,28388922,36869641752,364146,,
5,06/04/2026,1359,1359,1290,1350.5,1306,1304.7,1306.37,1611.8,1114.85,29274881,38243783551,584670,,
5,02/04/2026,1357,1358.2,1328,1369.2,1350.9,1350.5,1346.65,1611.8,1114.85,21280051,28656873097,335321,,
5,01/04/2026,1384.2,1384.4,1362.9,1343.9,1369.5,1369.2,1372.02,1611.8,1114.85,14404619,19763387955,241179,,
5,30/03/2026,1335,1365,1334.1,1348.1,1348.3,1343.9,1347.25,1611.8,1114.85,24393861,32864544985,426526,,
5,27/03/2026,1401,1404.7,1345,1413.1,1348,1348.1,1359.97,1611.8,1114.85,23266517,31641734743,546051,,
5,25/03/2026,1420,1430.5,1408.4,1411.8,1413.8,1413.1,1418.75,1611.8,1114.85,19041331,27014940456,313024,,
5,24/03/2026,1420,1422.4,1406.6,1407.8,1414,1411.8,1413.2,1611.8,1114.85,18620893,26315089062,304313,,
5,23/03/2026,1400,1415.6,1391,1414.4,1404,1407.8,1404.46,1611.8,1114.85,18979554,26655971497,385355,,
5,20/03/2026,1398,1430,1396.1,1384.8,1413.6,1414.4,1418.94,1611.8,1114.85,22994918,32628466607,315139,,
5,19/03/2026,1388,1415.7,1376.1,1408.1,1392,1384.8,1394.72,1611.8,1114.85,16498373,23010687831,305792,,
5,18/03/2026,1397.2,1412.9,1397.2,1397.6,1407.2,1408.1,1408.59,1611.8,1114.85,9559327,13465178868,212371,,
5,17/03/2026,1399,1405.9,1388.2,1395.1,1394.8,1397.6,1398.21,1611.8,1114.85,19007744,26576882527,273340,,
5,16/03/2026,1380,1397.3,1363.5,1380.7,1394,1395.1,1384.52,1611.8,1114.85,22837802,31619378232,293132,,
5,13/03/2026,1385.2,1400.8,1378.4,1392.2,1382.1,1380.7,1388.25,1611.8,1114.85,17265090,23968236255,315335,,
5,12/03/2026,1390,1410.9,1381.1,1390.2,1390,1392.2,1397.56,1611.8,1114.85,20939959,29264877794,370385,,
5,11/03/2026,1424.9,1434,1383.6,1408.8,1386.8,1390.2,1402.95,1611.8,1114.85,21848087,30651692543,358595,,
5,10/03/2026,1430.6,1431.5,1400.6,1424,1410.9,1408.8,1410.92,1611.8,1114.85,18071259,25497167383,266712,,
5,09/03/2026,1375,1429.4,1370,1404.8,1418.6,1424,1404.08,1611.8,1114.85,24870822,34920585822,363998,,
5,06/03/2026,1396.5,1424.3,1390.3,1389.4,1407,1404.8,1412.87,1611.8,1114.85,19311971,27285257300,291792,,
5,05/03/2026,1353.1,1399,1353.1,1345,1386.4,1389.4,1383.03,1611.8,1114.85,25957532,35899997226,339169,,
5,04/03/2026,1330,1352.8,1307,1358,1345.2,1345,1334.6,1611.8,1114.85,32495007,43367943821,643399,,
5,02/03/2026,1375.5,1378.6,1341.5,1393.9,1360,1358,1358.19,1611.8,1114.85,23728722,32228124370,384813,,
5,27/02/2026,1398,1410.4,1388.1,1406.8,1394.9,1393.9,1397.46,1611.8,1114.85,12031440,16813512507,195405,,
5,26/02/2026,1398.5,1412.9,1391.9,1398.5,1409,1406.8,1404.01,1611.8,1114.85,16683858,23424295897,242404,,
5,25/02/2026,1435,1440.5,1393.5,1428.8,1400.8,1398.5,1414.07,1611.8,1114.85,10728792,15171307393,204165,,
5,24/02/2026,1425.3,1433.3,1415,1428,1431.1,1428.8,1424.96,1611.8,1114.85,12529409,17853917144,196324,,
5,23/02/2026,1425,1434.9,1418.3,1419.4,1425,1428,1425.5,1611.8,1114.85,7758856,11060270074,140217,,
5,20/02/2026,1409.5,1427.4,1406.1,1409.5,1419.1,1419.4,1420,1611.8,1114.85,8177670,11612283011,161489,,
